Name,time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,LTYRTY
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,0.4912812999973539,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,1.0046027999997023,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,1.509543100000883,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,2.014977099999669,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,2.5304825999992318,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,3.039790199996787,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,3.5487366000015754,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,4.062487000002875,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,4.576878699997906,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,5.07933580000099,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,5.589000200001465,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,6.095128200002364,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,6.596260199999961,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,7.096953499996744,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,7.600777100000414,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,8.116816399997333,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,8.618504899997788,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,9.133047999996052,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,9.63413230000151,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,10.143774299998768,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,10.652025800001866,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,11.155513899997459,0,0,0,0,0,0,0,0,0,0,0,r
& d:/HCI/EEG_data_code/EEG/eeg_env/Scripts/python.exe d:/HCI/EEG_data_code/EEG/python_code_modified/mindwave.py,11.66952019999735,0,0,0,0,0,0,0,0,0,0,0,r
