Name,time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,LTYRTY
priyanka,0.4346235999983037,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,0.9353774999981397,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,1.4391134999968926,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,1.940807599996333,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,2.4547057999952813,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,2.962350499998138,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,3.47029919999477,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,3.9737905000001774,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,4.47553329999937,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,4.987007199997606,0,0,0,0,0,0,0,0,0,0,0,r
priyanka,6.004904199995508,0,0,192261,86979,10580,8585,7059,4179,2176,2532,0,r
priyanka,6.869291199996951,0,0,1949657,127722,63584,21406,31571,16490,4251,2022,0,r
priyanka,7.888345100000151,0,0,539435,162983,37037,52686,43051,15345,4921,6905,0,r
priyanka,8.860174699999334,51,38,701265,175621,36456,17669,6445,25719,12560,1822,0,r
priyanka,9.86996630000067,40,37,164000,23217,2922,6556,8557,1234,1971,306,0,r
priyanka,10.869748199998867,60,27,202211,240282,55676,39666,151802,48376,21226,5414,0,r
priyanka,11.885024099996372,83,47,1172065,47580,20969,41094,37144,16572,24014,8917,0,r
priyanka,12.902275200001895,53,41,976691,260318,64854,9735,98431,10637,3374,2226,0,r
priyanka,13.86783640000067,88,26,81748,23074,3105,1553,3761,4689,1696,473,0,r
priyanka,14.903846499997599,93,16,165027,79764,4593,32365,255648,25200,10272,11667,0,r
priyanka,16.853697799997462,100,27,942181,124364,49794,11761,16213,18966,9541,6583,0,r
priyanka,17.855564599994977,96,34,1657591,195147,2562,32958,21637,26486,13174,4466,0,r
priyanka,18.90102659999684,77,51,379455,298778,24419,63110,24866,29963,21893,5848,0,r
priyanka,19.865853800001787,44,35,730780,88405,12718,3943,5486,2559,3795,3345,0,r
priyanka,20.86642810000194,21,38,146301,108219,28190,29433,7133,5344,4027,1148,0,r
priyanka,22.856740899995202,41,57,147501,14480,5670,18586,33341,5773,6896,1330,0,r
priyanka,23.88070819999848,53,44,1077250,460259,31659,16792,84899,22978,43931,18771,0,r
priyanka,24.89777049999975,61,44,343277,55510,21246,13219,9194,3725,5744,2258,0,r
priyanka,25.89864739999757,67,70,444192,58356,69532,17638,4785,28758,18881,4849,0,r
priyanka,26.880280599994876,41,64,1097452,327645,77053,35863,6521,17852,5805,3508,0,r
priyanka,27.879109299996344,38,70,1672728,388609,22130,27300,14721,15443,25674,1323,0,r
priyanka,28.87994549999712,27,57,63201,404663,55337,55918,27237,13521,7383,2438,0,r
priyanka,29.8790011999954,27,51,1171614,36434,22596,35229,37276,17066,4630,2299,0,r
priyanka,30.86247379999986,35,41,75897,39769,3478,6542,11059,2934,1573,424,0,r
priyanka,31.862315699996543,40,51,562374,81201,18061,3848,6177,5013,2151,519,0,r
priyanka,32.863518099999055,41,70,171980,111809,33226,107518,47945,7185,5341,1388,0,r
priyanka,33.87809589999961,29,56,103751,155334,32656,18605,23954,21229,5283,2723,0,r
priyanka,34.8540353999997,20,70,96966,223860,67382,53848,14843,13019,5708,2618,0,r
priyanka,35.87773789999483,14,57,47903,117601,5266,7201,3625,5025,1831,515,0,r
priyanka,36.91146319999825,53,60,158400,18858,51830,46989,26942,37329,6547,2688,0,r
priyanka,37.876773299998604,43,81,1890085,44865,47688,26981,18522,9610,10814,2039,0,r
priyanka,38.861060800001724,51,88,953305,106679,67376,54842,30023,14446,6818,1269,0,r
priyanka,39.87932590000128,69,100,76889,26937,17106,15980,2920,7258,3475,817,0,r
priyanka,40.85924579999846,50,100,310672,98813,23423,54499,21734,15763,8947,2834,0,r
priyanka,41.85908479999489,50,100,893521,185807,75022,95705,13326,28045,3103,1797,0,r
priyanka,42.85872599999857,40,83,667371,531752,66679,36622,12859,23980,15969,4417,0,r
priyanka,43.893469800001185,34,80,1068778,30404,23059,4516,3448,4894,4606,2453,0,r
priyanka,44.85869019999518,21,56,435404,98271,10691,3913,3160,5600,3887,3560,0,r
priyanka,45.857592000000295,43,50,1213675,10286,10512,6924,18457,8025,6338,3184,0,r
priyanka,46.8752028999952,69,53,252361,79137,7870,12638,3096,22375,11405,3120,0,r
