Name,time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,LTYRTY
rabby,0.30536900000151945,0,0,0,0,0,0,0,0,0,0,0,r
rabby,0.8168832000010298,0,0,0,0,0,0,0,0,0,0,0,r
rabby,1.3237492000043858,0,0,0,0,0,0,0,0,0,0,0,r
rabby,1.8316914000024553,0,0,0,0,0,0,0,0,0,0,0,r
rabby,2.3405555999997887,0,0,0,0,0,0,0,0,0,0,0,r
rabby,2.8431551000030595,0,0,0,0,0,0,0,0,0,0,0,r
rabby,3.3439220000000205,0,0,0,0,0,0,0,0,0,0,0,r
rabby,3.8463485000029323,0,0,0,0,0,0,0,0,0,0,0,r
rabby,4.356083700004092,0,0,0,0,0,0,0,0,0,0,0,r
rabby,4.863105800002813,0,0,0,0,0,0,0,0,0,0,0,r
rabby,5.376591600004758,0,0,0,0,0,0,0,0,0,0,0,r
rabby,5.881524199998239,0,0,0,0,0,0,0,0,0,0,0,r
rabby,6.3821592000022065,0,0,0,0,0,0,0,0,0,0,0,r
rabby,6.884072300003027,0,0,0,0,0,0,0,0,0,0,0,r
rabby,7.880613900000753,0,0,549482,60688,62199,12058,20973,8212,11533,5895,0,r
rabby,8.85584860000381,0,0,1299411,660090,3536,81593,17576,11123,56393,11297,0,r
rabby,9.818735599998035,0,0,483813,35821,27209,64894,44788,19568,15197,12248,0,r
rabby,10.808335000001534,41,43,1328600,554673,163540,80966,44532,37238,67155,27669,0,r
rabby,12.814112200001546,54,54,1429690,53988,19126,6836,11851,13867,7014,3020,0,r
rabby,13.818464700001641,60,41,1125192,619463,34981,20102,42904,37759,51263,20337,0,r
rabby,14.816603500003112,67,23,1332696,409187,13315,27306,46878,50243,27849,10114,0,r
rabby,15.884578900004271,69,7,95711,42711,4483,1164,1504,1588,3421,1454,0,r
rabby,16.81523350000498,67,4,555698,227232,61336,18284,46232,41731,11938,11971,0,r
rabby,17.82979989999876,75,1,584287,130381,2062,7111,10280,15511,4328,4066,0,r
rabby,18.805863699999463,66,21,581073,56556,7902,26781,5866,4365,9746,3241,0,r
rabby,19.815922300003876,63,29,1442464,947569,250237,35314,22009,31833,31263,13291,0,r
rabby,20.8068248999989,66,41,1790948,51842,25723,48295,22183,26551,19192,12508,0,r
rabby,21.79924200000096,69,66,928645,147065,106281,9761,24069,48170,27129,24562,0,r
rabby,22.868166799999017,80,60,1609348,205625,44304,41402,27272,38991,16523,8534,0,r
rabby,23.827043800003594,80,60,2678305,445734,157527,160900,106400,41841,21585,7543,0,r
rabby,23.971112999999605,80,60,2678305,445734,157527,160900,106400,41841,21585,7543,103,r
rabby,24.806171900003392,81,54,348553,411224,35167,35080,23552,14674,13104,8963,0,r
rabby,25.82268820000172,77,44,885064,193333,28667,58551,45713,31710,14692,8087,0,r
rabby,27.869750500001828,61,50,2251558,485364,49691,26576,27086,33307,42946,19504,0,r
rabby,28.813281200003985,77,51,1570499,665782,82507,81184,40869,119785,63302,19667,0,r
rabby,29.853482800004713,77,60,107929,13728,10652,5649,2031,3757,3338,1394,0,r
rabby,30.81286330000148,81,41,1599756,272582,170021,38925,68147,55072,60477,40189,0,r
rabby,31.825229000001855,91,38,1326176,57466,5107,2443,7327,12547,8671,3575,0,r
rabby,32.828761299999314,94,38,735492,155943,16947,34142,48605,37283,14355,22759,0,r
rabby,33.85918210000091,97,34,577895,61083,24589,12828,5026,20204,11522,1567,0,r
rabby,34.810943399999815,81,26,263287,178175,34553,10982,5134,3964,8125,3347,0,r
rabby,35.810737300002074,75,34,190026,21432,1775,3180,1118,2800,3088,628,0,r
rabby,36.81468680000398,51,24,142673,561208,40004,11650,13711,10135,8773,9232,0,r
rabby,37.80474210000102,44,7,81588,57999,2940,2250,5184,6040,3853,3493,0,r
rabby,39.809269099998346,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,52.96963880000112,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,53.48471879999852,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,53.999263199999405,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,54.502866700000595,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,55.01812130000326,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,55.52469850000489,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,56.03572269999859,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,56.536317700003565,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,57.0387400000036,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,57.54491950000374,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,58.0582007999983,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,58.563266800003476,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,59.06476390000171,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,59.57596580000245,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
rabby,60.089804100003676,44,8,71923,98165,5853,21190,14154,3197,11743,12653,0,r
