Name,time,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,LTYRTY
rabby1,0.3688070999996853,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,0.8724227999991854,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,1.3868536000009044,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,1.8958726999990176,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,2.399001400000998,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,2.9068024000007426,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,3.4077105000033043,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,3.915791999999783,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,4.419088800001191,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,4.930755400004273,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,5.4426690000036615,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,5.945351900001697,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,6.458625500003109,0,0,0,0,0,0,0,0,0,0,0,r
rabby1,7.077658100002736,0,0,10,5,0,1,1,1,1,0,0,r
rabby1,7.211977700004354,0,0,826076,348075,71420,77595,87510,52362,84594,23025,0,r
rabby1,8.111012699999264,0,0,172118,21733,7346,4660,6050,5299,1304,2337,0,r
rabby1,9.101189100001648,0,0,1631330,843751,36026,70520,71008,85211,12787,19379,0,r
rabby1,10.163008199997421,44,47,1469543,82833,15109,8758,8765,13695,8922,1839,0,r
rabby1,11.10135270000319,43,69,122796,6712,4178,1837,1684,1342,1349,453,0,r
rabby1,12.101635200000601,24,91,1857601,263836,71269,101532,23404,12644,10018,2685,0,r
rabby1,13.095704699997441,41,100,23262,37736,8955,14840,5864,9028,4131,976,0,r
rabby1,14.092065900003945,38,93,253660,721876,24313,59820,53984,58453,22786,14236,0,r
rabby1,15.093515300002764,24,83,190810,147394,24370,35627,19426,6710,5275,1145,0,r
rabby1,16.108240000001388,63,81,548421,28702,18717,3585,6492,9182,6692,1971,0,r
rabby1,17.124682000001485,51,70,61292,11113,3791,874,6472,1277,974,315,0,r
rabby1,18.11163939999824,35,81,72329,39422,6462,1331,1534,1745,1257,478,0,r
rabby1,19.093145300001197,61,90,558532,97374,54776,28808,31973,21575,13969,4210,0,r
rabby1,20.12704830000439,61,69,617511,184149,26240,14907,25452,38509,28039,8559,0,r
rabby1,21.09805320000305,66,87,427257,27980,22166,4099,11046,5600,2760,829,0,r
rabby1,22.11518960000103,87,91,120862,25368,3522,6146,4351,3103,1796,1330,0,r
rabby1,23.132360399999015,88,70,211530,37661,2367,9736,20720,6534,5899,2427,0,r
rabby1,24.13046100000065,87,77,316163,30383,1548,6944,7242,6596,2920,1682,0,r
rabby1,25.11425749999762,100,77,374889,20995,39535,37380,54140,15436,9845,3730,0,r
rabby1,26.11258380000072,91,80,497833,53716,4266,28021,15840,5397,9047,4894,0,r
rabby1,27.112857400003122,80,75,590561,62966,8450,5020,14748,5656,1867,1419,0,r
rabby1,28.163746099999116,50,78,275608,107430,18763,14214,8901,5899,4697,5159,0,r
rabby1,29.095313099998748,26,56,1161126,637962,84352,91443,58825,46775,43339,23236,0,r
rabby1,30.11164010000357,16,61,793768,80733,47215,5454,5297,5953,13151,2468,0,r
rabby1,31.09636970000429,35,70,658817,16043,5727,4863,15275,4837,2075,444,0,r
rabby1,32.09480110000004,69,56,134163,42084,3805,3215,9567,8859,4830,1569,0,r
rabby1,33.095047100003285,87,69,914775,310268,189795,41214,64893,73177,96691,8696,0,r
rabby1,34.095139500001096,81,47,890003,444458,27622,35270,36416,16234,6751,6903,0,r
rabby1,35.1621238000007,56,40,106580,80883,10340,8389,4330,5957,8417,2023,0,r
